model,horizon,mse_mean,mse_std,mae_mean,mae_std,seconds_mean
LSTM,90,167921.334375,6293.130794164068,316.447216796875,6.3714403997070335,3.1776530265808107
LSTM,365,187384.7,7254.59513443886,335.91058349609375,7.559349025065539,3.3912611484527586
Transformer,90,174260.8,7701.394703720563,324.7734680175781,10.075400819154147,16.565066432952882
Transformer,365,186953.715625,8017.485651715496,335.2261596679688,9.155345245242485,13.52240810394287
WeatherAwareMST,90,164158.48125,6453.55519552362,315.1456665039062,9.513584849554382,19.75471134185791
WeatherAwareMST,365,175324.696875,7451.710536661524,324.2209899902344,7.050909096464883,15.676239490509033
